Function_A,embedding_dim_0,embedding_dim_1,embedding_dim_2,embedding_dim_3,embedding_dim_4,embedding_dim_5,embedding_dim_6,embedding_dim_7,embedding_dim_8,embedding_dim_9,embedding_dim_10,embedding_dim_11,embedding_dim_12,embedding_dim_13,embedding_dim_14,embedding_dim_15
Cell death,-0.24622455,0.09755763,0.14844063,-0.25911036,0.09044874,0.095599875,-0.10070247,0.09815352,-0.004246789,-0.021336952,-0.008052765,-0.25346082,-0.1866392,0.12624031,0.2061797,-0.036631715
DNA repair,-0.24622455,0.09755763,0.14844063,-0.25911036,0.048324164,0.049817488,-0.0019612513,0.10917143,-0.106070444,-0.21177484,0.13349257,-0.13575085,-0.09530204,0.28679562,0.09274859,-0.010250119
Differentiation,-0.24622455,0.09755763,0.14844063,-0.25911036,-0.36761478,0.039302338,0.22450893,0.078919485,-0.1047893,-0.085212484,0.040768716,0.11240646,0.08485362,0.09179373,0.24334598,0.15621927
Metabolism,-0.24622455,0.09755763,0.14844063,-0.25911036,0.053849883,0.07212966,0.20257698,0.04668801,-0.014990367,0.21950398,-0.09006483,0.10990133,-0.0036918316,-0.03619174,-0.15475826,0.3150237
Oncogenic signal,-0.24622455,0.09755763,0.14844063,-0.25911036,0.16449985,-0.24698688,0.060126826,-0.12080283,0.21058825,-0.18003039,0.250344,0.12213954,-0.0754542,0.20871575,-0.14947738,-0.06118357
other,-0.24622455,0.09755763,0.14844063,-0.25911036,-0.054476783,-0.11724224,-0.084546305,-0.077468514,-0.09674187,0.055394456,-0.31292322,0.21072078,0.049867295,0.11276221,0.05627225,0.03056526
