Function_B,embedding_dim_0,embedding_dim_1,embedding_dim_2,embedding_dim_3,embedding_dim_4,embedding_dim_5,embedding_dim_6,embedding_dim_7,embedding_dim_8,embedding_dim_9,embedding_dim_10,embedding_dim_11,embedding_dim_12,embedding_dim_13,embedding_dim_14,embedding_dim_15
Cell death,0.12326258,0.029073695,-0.09641217,0.17912318,0.22418347,0.07576866,0.16734435,0.016593916,-0.06705145,0.21590135,-0.1938061,-0.13291317,0.19384564,-0.22792356,-0.0408152,0.05863923
DNA repair,0.12326258,0.029073695,-0.09641217,0.17912318,-0.25216258,-0.11114909,-0.09146962,0.12596086,-0.2469788,-0.11993845,0.14280073,0.07602385,0.17022125,-0.027888527,0.16159,-0.12178336
Differentiation,0.12326258,0.029073695,-0.09641217,0.17912318,-0.17799015,0.035687026,-0.22582659,0.050869826,0.07515362,0.019379372,0.18844524,0.30381048,-0.14347684,-0.013536194,-0.17019765,-0.017534606
Metabolism,0.12326258,0.029073695,-0.09641217,0.17912318,0.00566148,0.021195926,0.10659016,0.22898722,0.20639688,-0.06328393,0.18229026,-0.10840096,0.07026974,0.17562835,0.21369638,0.10523034
Oncogenic signal,0.12326258,0.029073695,-0.09641217,0.17912318,0.08163164,0.17341287,0.11162981,-0.17882851,0.09284142,0.17377889,-0.23378804,0.04454217,0.1550821,-0.25442982,-0.2449097,-0.06721409
other,0.12326258,0.029073695,-0.09641217,0.17912318,-0.028341062,0.1487997,0.08038327,-0.2652687,-0.31016424,-0.18448451,0.046127524,0.06117636,-0.15975377,0.089177676,0.24032032,-0.11289783
